"Category","Minifilter","Altitude","Company"
"FSFilter Activity Monitor","CULockerFsfd.sys","389385.5","CUBOX Co., Ltd"
"FSFilter Activity Monitor","kixprotect.sys","389370.5","SBS Software"
"FSFilter Activity Monitor","cydanix_amon.sys","389350.5","Cydanix LLC"
"FSFilter Activity Monitor","nargflti.sys on 32bit","389340.6","NETAND Co.,Ltd"
"FSFilter Activity Monitor","nargflta.sys on 64bit","389340.6","NETAND Co.,Ltd"
"FSFilter Activity Monitor","naspflti.sys on 32bit","389340.5","NETAND Co.,Ltd"
"FSFilter Activity Monitor","naspflta.sys on 64bit","389340.5","NETAND Co.,Ltd"
"FSFilter Activity Monitor","NetPeeker.sys","389330","eMingSoftware Inc"
"FSFilter Activity Monitor","path8flt.sys","389320","Telefonica Digital"
"FSFilter Activity Monitor","DLPDriverNfn.sys","389310.5","Acronis"
"FSFilter Activity Monitor","NgScan.sys","389310","Acronis"
"FSFilter Activity Monitor","icrlmonitor.sys","389300","Industrial Technology"
"FSFilter Activity Monitor","gibepcore.sys","389290","Group-IB LTD"
"FSFilter Activity Monitor","cpflt.sys","389285.5","Cloudplan GmbH"
"FSFilter Activity Monitor","enmon.sys","389280","OpenText Corp"
"FSFilter Activity Monitor","bfdrv.sys","389275.5","KForensic"
"FSFilter Activity Monitor","wsafefilter.sys","389272","WidgetNuri Corp"
"FSFilter Activity Monitor","RansomDetect.sys","389270","WidgetNuri Corp"
"FSFilter Activity Monitor","PPLPMFilter.sys","389265.5","PolicyPak Software"
"FSFilter Activity Monitor","cbfsfilter2017.sys","389260","Mobile Content Mgmt"
"FSFilter Activity Monitor","cbfilter20.sys","389251","SecureLink Inc."
"FSFilter Activity Monitor","CBFSFilter2017.sys","389250","SecureLink Inc."
"FSFilter Activity Monitor","GmBase.sys","389248","NanJing Geomarking"
"FSFilter Activity Monitor","MagicProtect.sys","389247","NanJing Geomarking"
"FSFilter Activity Monitor","cbfsfilter2017.sys","389245","NanJing Geomarking"
"FSFilter Activity Monitor","cbfsfilter2020.sys","389245","NanJing Geomarking"
"FSFilter Activity Monitor","DTDSel.sys","389242","DELL Technologies"
"FSFilter Activity Monitor","NWEDriver.sys","389240","Dell Technologies"
"FSFilter Activity Monitor","cytmon.sys","389230","Cytrence Inc"
"FSFilter Activity Monitor","ZtacFltr.sys","389225.5","Blackpoint Cyber"
"FSFilter Activity Monitor","SophosED.sys","389220","Sophos"
"FSFilter Activity Monitor","MonsterK.sys","389210","Somma Inc"
"FSFilter Activity Monitor","MSSITDIF.SYS","389205.8","ISNET Corp"
"FSFilter Activity Monitor","MSSIDRVF.SYS","389205.6","ISNET Corp"
"FSFilter Activity Monitor","BMFWTDIF.SYS","389205.4","ISNET Corp"
"FSFilter Activity Monitor","STORVXFT.SYS","389205.2","ISNET Corp"
"FSFilter Activity Monitor","STORV1FT.SYS","389205.1","ISNET Corp"
"FSFilter Activity Monitor","IFS64.sys","389200","Ashampoo Development"
"FSFilter Activity Monitor","TSTFsReDir.sys","389192","ThinScale Tech"
"FSFilter Activity Monitor","TSTRegReDir.sys","389191","ThinScale Tech"
"FSFilter Activity Monitor","TSTFilter.sys","389190","ThinScale Tech"
"FSFilter Activity Monitor","VrnsFilter.sys","389180","Varonis Ltd"
"FSFilter Activity Monitor","slb_guard.sys","389175","Lenovo Beijing"
"FSFilter Activity Monitor","lrtp.sys","389170","Lenovo Beijing"
"FSFilter Activity Monitor","ipcomfltr.sys","389160","Bluzen Inc"
"FSFilter Activity Monitor","oneagent.sys","389155.5","BluSapphire Cyber Systems Pvt Ltd"
"FSFilter Activity Monitor","SvCBT.sys","389150","Spharsoft Technologies"
"FSFilter Activity Monitor","mbamshuriken.sys","389140","Malwarebytes"
"FSFilter Activity Monitor","FGFLT.sys","389135.5","WinAbility Software"
"FSFilter Activity Monitor","ContainerMonitor.sys","389130","Aqua Security"
"FSFilter Activity Monitor","cmflt.sys","389125","Certero"
"FSFilter Activity Monitor","SaMFlt.sys","389120","DreamCrafts"
"FSFilter Activity Monitor","RuiMinispy.sys","389117","RuiGuard Ltd"
"FSFilter Activity Monitor","RuiFileAccess.sys","389115","RuiGuard Ltd"
"FSFilter Activity Monitor","RuiEye.sys","389113","RuiGuard Ltd"
"FSFilter Activity Monitor","RuiMachine.sys","389111","RuiGuard Ltd"
"FSFilter Activity Monitor","windd.sys","389110","Comae Tech"
"FSFilter Activity Monitor","cbfsfilter2017.sys","389105","Basein Networks"
"FSFilter Activity Monitor","taobserveflt.sys","389100","ThinAir Labs Inc"
"FSFilter Activity Monitor","fsrvlock.sys","389098","Man Technology Inc"
"FSFilter Activity Monitor","bsrfsflt.sys","389096","Man Technology Inc"
"FSFilter Activity Monitor","fsrfilter.sys","389094","Man Technology Inc"
"FSFilter Activity Monitor","vollock.sys","389092","Man Technology Inc"
"FSFilter Activity Monitor","drbdlock.sys","389090","Man Technology Inc"
"FSFilter Activity Monitor","dcfsgrd.sys","389085","Datacloak Tech"
"FSFilter Activity Monitor","hsmltmon.sys","389080","Hitachi Solutions"
"FSFilter Activity Monitor","AternityRegistryHook.sys","389070","Aternity Ltd"
"FSFilter Activity Monitor","MozyNextFilter.sys","389068","Carbonite Inc"
"FSFilter Activity Monitor","MozyCorpFilter.sys","389067","Carbonite Inc"
"FSFilter Activity Monitor","MozyEntFilter.sys","389066","Carbonite Inc"
"FSFilter Activity Monitor","MozyOEMFilter.sys","389065","Carbonite Inc"
"FSFilter Activity Monitor","MozyEnterpriseFilter.sys","389064","Carbonite Inc"
"FSFilter Activity Monitor","MozyProFilter.sys","389063","Carbonite Inc"
"FSFilter Activity Monitor","MozyHomeFilter.sys","389062","Carbonite Inc"
"FSFilter Activity Monitor","BDSFilter.sys","389061","Carbonite Inc"
"FSFilter Activity Monitor","CSBFilter.sys","389060","Carbonite Inc"
"FSFilter Activity Monitor","f_pmf.sys","389055.5","Fasoo Inc."
"FSFilter Activity Monitor","ChemometecFilter.sys","389050","ChemoMetec"
"FSFilter Activity Monitor","bcloudsafe.sys","389045.5","AISHU Technology Corp"
"FSFilter Activity Monitor","SentinelMonitor.sys(retired - new altitude allocated)","389040","SentinelOne"
"FSFilter Activity Monitor","DhWatchdog.sys","389030","Microsoft"
"FSFilter Activity Monitor","edrsensor.sys","389025","Bitdefender SRL"
"FSFilter Activity Monitor","bdprivmon.sys","389022","Bitdefender SRL"
"FSFilter Activity Monitor","NpEtw.sys","389020","Koby Kahane"
"FSFilter Activity Monitor","OczMiniFilter.sys","389010","OCZ Storage"
"FSFilter Activity Monitor","ielcp.sys","389004","Intel Corporation"
"FSFilter Activity Monitor","IESlp.sys","389002","Intel Corporation"
"FSFilter Activity Monitor","IntelCAS.sys","389000","Intel Corporation"
"FSFilter Activity Monitor","neucloak.sys","388995.5","NeuShield, Inc."
"FSFilter Activity Monitor","boxifier.sys","388990","Kenubi"
"FSFilter Activity Monitor","SamsungRapidFSFltr.sys","388980","NVELO Inc."
"FSFilter Activity Monitor","drsfile.sys","388970","MRY Inc."
"FSFilter Activity Monitor","CbFltFs4.sys","388966","Simopro Technology"
"FSFilter Activity Monitor","CrUnCopy.sys","388964","Shenzhen CloudRiver"
"FSFilter Activity Monitor","aictracedrv_am.sys","388960","AI Consulting"
"FSFilter Activity Monitor","fiopolicyfilter.sys","388954","SanDisk Inc."
"FSFilter Activity Monitor","sodatpfl.sys","388951","SODATSW spol. s r.o."
"FSFilter Activity Monitor","sodatpfl.sys","388950.2","SODATSW"
"FSFilter Activity Monitor","fcontrol.sys","388950","SODATSW spol. s r.o."
"FSFilter Activity Monitor","qfilter.sys","388940","Quorum Labs"
"FSFilter Activity Monitor","CTDlpFlt.sys","388935.5","KRIPTEK KRIPTO VE BILISIM TEKNOLOJILERI A.S."
"FSFilter Activity Monitor","Redlight.sys","388930","Trustware Ltd"
"FSFilter Activity Monitor","ClumioChangeBlockMf.sys","388925","Clumio Inc"
"FSFilter Activity Monitor","eps.sys","388920","Lumension"
"FSFilter Activity Monitor","VHDTrack.sys","388915","Intronis Inc"
"FSFilter Activity Monitor","VHDDelta.sys","388912","Niriva LLC"
"FSFilter Activity Monitor","FSTrace.sys","388910","Niriva LLC"
"FSFilter Activity Monitor","spidermon.sys","388905.5","Guangzhou Shizhen Information Technology Co.,Ltd"
"FSFilter Activity Monitor","YahooStorage.sys","388900","Yahoo Japan Corporation"
"FSFilter Activity Monitor","KeWF.sys","388890","KEBA AG"
"FSFilter Activity Monitor","epregflt.sys","388888","Check Point Software"
"FSFilter Activity Monitor","epklib.sys","388886","Check Point Software"
"FSFilter Activity Monitor","zsfprt.sys","388880","k4solution Co., Ltd."
"FSFilter Activity Monitor","dsflt.sys","388876","cEncrypt"
"FSFilter Activity Monitor","bfaccess.sys","388872","bitFence Inc."
"FSFilter Activity Monitor","xcpl.sys","388870","X-Cloud Systems"
"FSFilter Activity Monitor","DRMFilter.sys","388867.5","ManageEngine Zoho"
"FSFilter Activity Monitor","DFMFilter.sys","388867","ManageEngine Zoho"
"FSFilter Activity Monitor","DCFAFilter.sys","388866","ManageEngine Zoho"
"FSFilter Activity Monitor","RMPHVMonitor.sys","388865","ManageEngine Zoho"
"FSFilter Activity Monitor","FAPMonitor.sys","388864","ManageEngine Zoho"
"FSFilter Activity Monitor","FACEDrv.sys","388863.5","ManageEngine Zoho"
"FSFilter Activity Monitor","MEARWFltDriver.sys","388863","ManageEngine Zoho"
"FSFilter Activity Monitor","SerMonDriver.sys","388862.5","ManageEngine Zoho"
"FSFilter Activity Monitor","EaseFlt.sys","388860","EaseVault Technologies Inc."
"FSFilter Activity Monitor","rpwatcher.sys","388855","Best Security"
"FSFilter Activity Monitor","sieflt.sys","388852","Quick Heal Technologies Pvt. Ltd."
"FSFilter Activity Monitor","cssdlp.sys","388851","Quick Heal Technologies Pvt. Ltd."
"FSFilter Activity Monitor","cssdlp.sys","388850","CoSoSys"
"FSFilter Activity Monitor","INISBDrv64.sys","388840","Initech Inc."
"FSFilter Activity Monitor","kconv.sys","388832","Fitsec Ltd"
"FSFilter Activity Monitor","trace.sys","388831","Fitsec Ltd"
"FSFilter Activity Monitor","SandDriver.sys","388830","Fitsec Ltd"
"FSFilter Activity Monitor","dskmn.sys","388820","Honeycomb Technologies"
"FSFilter Activity Monitor","offsm.sys","388811","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","xkfsfd.sys","388810","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","JKPPOB.sys","388808","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","JKPPXK.sys","388807","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","JKPPPF.sys","388806","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","JKPPOK.sys","388805","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","JRPPOK.sys","388800.1","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","pcpifd.sys","388800","Jiransoft Co., Ltd"
"FSFilter Activity Monitor","NNTInfo.sys","388790","New Net Technologies Limited"
"FSFilter Activity Monitor","NmpFilter.sys","388781","IBM"
"FSFilter Activity Monitor","FsMonitor.sys","388780","IBM"
"FSFilter Activity Monitor","PRFFilter.sys","388770.5","CommVault Systems, Inc."
"FSFilter Activity Monitor","CVCBT.sys","388770","CommVault Systems, Inc."
"FSFilter Activity Monitor","AwareCore.sys","388760","TaaSera Inc."
"FSFilter Activity Monitor","laFS.sys","388750","NetworkProfi Ltd"
"FSFilter Activity Monitor","fsnk.sys","388740","SoftPerfect Research"
"FSFilter Activity Monitor","RGNT.sys","388730","HFN Inc."
"FSFilter Activity Monitor","fltRs329.sys","388720","Secured Globe Inc."
"FSFilter Activity Monitor","ospmon.sys","388710","SC ODEKIN SOLUTIONS SRL"
"FSFilter Activity Monitor","edsigk.sys","388700","Enterprise Data Solutions, Inc."
"FSFilter Activity Monitor","fiometer.sys","388692","Fusion-io"
"FSFilter Activity Monitor","dcSnapRestore.sys","388690","Fusion-io"
"FSFilter Activity Monitor","SytSelfProtect.sys","388688.5","Sunyata Electronic Tech"
"FSFilter Activity Monitor","fam.sys","388680","Quick Heal Technologies Pvt. Ltd."
"FSFilter Activity Monitor","vidderfs.sys","388675","Vidder Inc."
"FSFilter Activity Monitor","Tritiumfltr.sys","388670","Tritium Inc."
"FSFilter Activity Monitor","HexisFSMonitor.sys","388660","Hexis Cyber Solutions"
"FSFilter Activity Monitor","BlackbirdFSA.sys","388650","BeyondTrust Inc."
"FSFilter Activity Monitor","TmAIS.sys","388642.5","Trend Micro Inc."
"FSFilter Activity Monitor","TMUMS.sys","388642","Trend Micro Inc."
"FSFilter Activity Monitor","hfileflt.sys","388640","Trend Micro Inc."
"FSFilter Activity Monitor","TMUMH.sys","388630","Trend Micro Inc."
"FSFilter Activity Monitor","AcDriver.sys","388620","Trend Micro, Inc."
"FSFilter Activity Monitor","SakFile.sys","388610","Trend Micro, Inc."
"FSFilter Activity Monitor","SakMFile.sys","388600","Trend Micro, Inc."
"FSFilter Activity Monitor","rsfdrv.sys","388580","Clonix Co"
"FSFilter Activity Monitor","alcapture.sys","388570","Airlock Digital Pty Ltd"
"FSFilter Activity Monitor","kmNWCH.sys","388560","IGLOO SECURITY, Inc."
"FSFilter Activity Monitor","ISIRMFmon.sys","388550","ALPS SYSTEM INTERGRATION CO., LTD"
"FSFilter Activity Monitor","EsProbe.sys","388542","Stormshield"
"FSFilter Activity Monitor","heimdall.sys","388540","Arkoon Network Security"
"FSFilter Activity Monitor","thetta.sys","388532","Syncopate"
"FSFilter Activity Monitor","thetta.sys","388531","Syncopate"
"FSFilter Activity Monitor","thetta.sys","388530","Syncopate"
"FSFilter Activity Monitor","DTPL.sys","388520","CONNECT SHIFT LTD"
"FSFilter Activity Monitor","CyOptics.sys","388514","Cylance Inc."
"FSFilter Activity Monitor","CyProtectDrv32.sys","388510","Cylance Inc."
"FSFilter Activity Monitor","CyProtectDrv64.sys","388510","Cylance Inc."
"FSFilter Activity Monitor","tbfsfilt.sys","388500","Third Brigade"
"FSFilter Activity Monitor","IvAppMon.sys","388491","Ivanti"
"FSFilter Activity Monitor","LDSecDrv.sys","388490","LANDESK Software"
"FSFilter Activity Monitor","SGResFlt.sys","388480","Samsung SDS Ltd"
"FSFilter Activity Monitor","CwMem2k64.sys","388470","ApSoft"
"FSFilter Activity Monitor","axfltdrv.sys","388460","Axact Pvt Ltd"
"FSFilter Activity Monitor","RMDiskMon.sys","388450","Qingdao Ruanmei Network Technology Co., Ltd."
"FSFilter Activity Monitor","diskactmon.sys","388440","Qingdao Ruanmei Network Technology Co., Ltd."
"FSFilter Activity Monitor","BlackCat.sys","388435.5","NEXON KOREA"
"FSFilter Activity Monitor","Codex.sys","388430","GameHi Co., Ltd."
"FSFilter Activity Monitor","CatMF.sys","388420","Logichron Inc"
"FSFilter Activity Monitor","RW7FsFlt.sys","388410","PJSC KP VTI"
"FSFilter Activity Monitor","aswSP.sys","388401","Avast Software"
"FSFilter Activity Monitor","aswFsBlk.sys","388400","ALWIL Software"
"FSFilter Activity Monitor","AbrPmon.sys","388390","FastTrack Software ApS"
"FSFilter Activity Monitor","ThreatStackFIM.sys","388380","Threat Stack"
"FSFilter Activity Monitor","BOsCmFlt.sys","388370","Barkly Protects Inc."
"FSFilter Activity Monitor","BOsFsFltr.sys","388370","Barkly Protects Inc."
"FSFilter Activity Monitor","Asgard.sys","388365","SPEKNET EOOD"
"FSFilter Activity Monitor","FeKern.sys","388360","FireEye Inc."
"FSFilter Activity Monitor","fhfs.sys","388355.5","SecureCircle"
"FSFilter Activity Monitor","libwaacd.sys","388350.2","OPSWAT Inc."
"FSFilter Activity Monitor","libwamf.sys","388350","OPSWAT Inc."
"FSFilter Activity Monitor","SZEDRDrv.sys","388346","SaferZone Co."
"FSFilter Activity Monitor","szardrv.sys","388345","SaferZone Co."
"FSFilter Activity Monitor","szpcmdrv.sys","388341","SaferZone Co."
"FSFilter Activity Monitor","szdfmdrv.sys","388340","SaferZone Co."
"FSFilter Activity Monitor","szdfmdrv_usb.sys","388331","SaferZone Co."
"FSFilter Activity Monitor","sprtdrv.sys","388330","SaferZone Co."
"FSFilter Activity Monitor","SWFsFltrv2.sys","388321","Solarwinds LLC"
"FSFilter Activity Monitor","SWFsFltr.sys","388320","Solarwinds LLC"
"FSFilter Activity Monitor","flashaccelfs.sys","388310","Network Appliance"
"FSFilter Activity Monitor","changelog.sys","388300","Network Appliance"
"FSFilter Activity Monitor","stcvsm.sys","388250","StorageCraft Tech"
"FSFilter Activity Monitor","aUpDrv.sys","388240","ITSTATION Inc"
"FSFilter Activity Monitor","fshs.sys","388222","F-Secure"
"FSFilter Activity Monitor","fshs.sys","388221","F-Secure"
"FSFilter Activity Monitor","fsatp.sys","388220","F-Secure"
"FSFilter Activity Monitor","SecdoDriver.sys","388210","Secdo"
"FSFilter Activity Monitor","TGFSMF.sys","388200","Tetraglyph Technologies"
"FSFilter Activity Monitor","rswMonitor.sys","388175.5","Beijing Mike Technology Co., Ltd."
"FSFilter Activity Monitor","napfflti.sys","388150.5","NETAND Co Ltd"
"FSFilter Activity Monitor","OwlyshieldRansomFilter.sys","388110.5","SitinCloud SAS"
"FSFilter Activity Monitor","evscase.sys","388100","March Hare Software Ltd"
"FSFilter Activity Monitor","VSScanner.sys","388050","VoodooSoft, LLC"
"FSFilter Activity Monitor","HDRansomOffDrv.sys","388044","Heilig Defense LLC"
"FSFilter Activity Monitor","HDCorrelateFDrv.sys","388042","Heilig Defense LLC"
"FSFilter Activity Monitor","HDFileMon.sys","388040","Heilig Defense LLC"
"FSFilter Activity Monitor","tsifilemon.sys","388012","Intercom Inc."
"FSFilter Activity Monitor","MarSpy.sys","388010","Intercom Inc."
"FSFilter Activity Monitor","AGSysLock.sys","388002","AppGuard LLC"
"FSFilter Activity Monitor","AGSecLock.sys","388001","AppGuard LLC"
"FSFilter Activity Monitor","BrnFileLock.sys","388000","Blue Ridge Networks"
"FSFilter Activity Monitor","BrnSecLock.sys","387990","Blue Ridge Networks"
"FSFilter Activity Monitor","LCmPrintMon.sys","387978","YATEM Co. Ltd."
"FSFilter Activity Monitor","LCgAdMon.sys","387977","YATEM Co. Ltd."
"FSFilter Activity Monitor","LCmAdMon.sys","387976","YATEM Co. Ltd."
"FSFilter Activity Monitor","LCgFileMon.sys","387975","YATEM Co. Ltd."
"FSFilter Activity Monitor","LCmFile.sys","387974","YATEM Co. Ltd."
"FSFilter Activity Monitor","LCgFile.sys","387972","YATEM Co. Ltd."
"FSFilter Activity Monitor","LCmFileMon.sys","387970","YATEM Co. Ltd."
"FSFilter Activity Monitor","IridiumSwitch.sys","387960","Confio"
"FSFilter Activity Monitor","axfsysmon.sys","387951","AppiXoft"
"FSFilter Activity Monitor","scensemon.sys","387950","AppiXoft"
"FSFilter Activity Monitor","ruaff.sys","387940","RUNEXY"
"FSFilter Activity Monitor","bbfilter.sys","387930","derivo GmbH"
"FSFilter Activity Monitor","Bfmon.sys","387920","Baidu (Hong Kong) Limited"
"FSFilter Activity Monitor","bdsysmon.sys","387912","Baidu Online Network"
"FSFilter Activity Monitor","BdRdFolder.sys","387910","Baidu (beijing)"
"FSFilter Activity Monitor","mlsaff.sys","387901","RUNEXY"
"FSFilter Activity Monitor","pscff.sys","387900","Weing Co.,Ltd."
"FSFilter Activity Monitor","fcnotify.sys","387880","TCXA Ltd."
"FSFilter Activity Monitor","aaf.sys","387860","Actifio Inc"
"FSFilter Activity Monitor","gddcv.sys","387840","G Data Software AG"
"FSFilter Activity Monitor","wgfile.sys","387820","ORANGE WERKS Inc"
"FSFilter Activity Monitor","zesfsmf.sys","387800","Novell"
"FSFilter Activity Monitor","BWAnticheat.sys","387750","Binklac Workstation"
"FSFilter Activity Monitor","uamflt.sys","387700","Sevtechnotrans"
"FSFilter Activity Monitor","ehdrv.sys","387600","ESET, spol. s r.o."
"FSFilter Activity Monitor","DattoFSF.sys","387560","Datto Inc"
"FSFilter Activity Monitor","RubrikFileAudit.sys","387552","Rubrik Inc"
"FSFilter Activity Monitor","FileSystemCBT.sys","387550","Rubrik Inc"
"FSFilter Activity Monitor","Snilog.sys","387500","Systemneeds, Inc"
"FSFilter Activity Monitor","tss.sys","387400","Tiversa Inc"
"FSFilter Activity Monitor","LmDriver.sys","387390","in-soft Kft."
"FSFilter Activity Monitor","WDCFilter.sys","387330","Interset Inc."
"FSFilter Activity Monitor","altcbt.sys","387320","Altaro Ltd."
"FSFilter Activity Monitor","bapfecpt.sys","387310","BitArmor Systems, Inc"
"FSFilter Activity Monitor","bamfltr.sys","387300","BitArmor Systems, Inc"
"FSFilter Activity Monitor","TrustedEdgeFfd.sys","387200","FileTek, Inc."
"FSFilter Activity Monitor","MRxGoogle.sys","387100","Google, Inc."
"FSFilter Activity Monitor","YFSDR.SYS","387010","Yokogawa R&L Corp"
"FSFilter Activity Monitor","YFSD.SYS","387000","Yokogawa R&L Corp"
"FSFilter Activity Monitor","YFSRD.sys","386990","Yokogawa R&L Corp"
"FSFilter Activity Monitor","psgfoctrl.sys","386990","Yokogawa R&L Corp"
"FSFilter Activity Monitor","psgdflt.sys","386980","Yokogawa R&L Corp"
"FSFilter Activity Monitor","USBPDH.SYS","386901","Centre for Development of Advanced Computing"
"FSFilter Activity Monitor","pecfilter.sys","386900","C-DAC Hyderabad"
"FSFilter Activity Monitor","GKPFCB64.sys","386810","INCA Internet Co.,Ltd."
"FSFilter Activity Monitor","TkPcFtCb.sys on 32bit","386800","INCA Internet Co.,Ltd."
"FSFilter Activity Monitor","TkPcFtCb64.sys on 64bit","386800","INCA Internet Co.,Ltd."
"FSFilter Activity Monitor","bmregdrv.sys","386731","Yandex LLC"
"FSFilter Activity Monitor","bmfsdrv.sys","386730","Yandex LLC"
"FSFilter Activity Monitor","CarbonBlackK.sys","386720","Bit9 Inc."
